A,B,C,D,E,F,G
1500,-0.003376749,0.005520716,26398,-0.003937433,0.008305917,0.001672244
1501,0.001125161,0.00642949,27856,0.002043011,-0.000535992,0.002217018
1502,0.00242222,0.006728388,28600,-0.00251606,-0.004875697,0.000870338
1503,-0.001546419,0.004692583,20087,0.003974221,0.010657767,0.000243506
1504,0.003608001,0.004616119,23213,0.003739316,0.005065856,0.000650311
1505,0.002442521,0.005787713,24545,-0.006342495,-0.00047753,0.000744714
1506,-0.004414189,0.007711535,44027,-0.009798729,-0.002761111,0.000393376
1507,-0.003190641,0.00622175,23660,0.005769231,0.000478647,0.000304371
1508,-0.003924731,0.00811828,29693,-0.007203842,-0.010316405,0.000518545
1509,-0.001889339,0.008151147,28049,-0.003779698,-0.001831798,-0.000320422
1510,-0.002290701,0.005781293,31556,-0.003409091,-0.009932524,-0.000596328
1511,0.003182047,0.013956345,43352,-0.010273224,-0.017834742,-0.000974528
1512,0.003398564,0.007345283,31458,0.007405345,0.018199073,-0.001577473
1513,0.003993217,0.007330015,27555,-0.003661202,0.001918544,-0.000868656
1514,0.001828055,0.005699231,28804,0.002505447,0.017996827,-0.000379258
1515,0.003650615,0.004831696,18778,-0.002843348,0.00220442,0.000413887
1516,-0.00090628,0.004638021,20954,0.003529412,0.007032802,0.000899365
1517,-0.00679326,0.010751538,37126,0.004642476,-0.002932082,0.001894067
1518,0.002572347,0.005359057,18599,0.004418103,-0.001658197,0.00104882
1519,-0.001544607,0.005965379,21555,-0.002352941,0.002625938,0.000905751
1520,0.002827873,0.007203073,19532,-0.004322305,-0.002396804,0.000290915
1521,0.001602992,0.004274646,21741,-0.006808511,-0.003574859,0.000106866
1522,0.000371156,0.00349947,24126,0.005229456,0.008014961,-0.00031744
1523,-0.000266028,0.011705241,60266,0.005196182,-0.004347826,0.000120442
1524,5.42E-05,0.005036828,41993,-0.007614483,-0.01867518,1.29E-05
1525,-0.001747419,0.005824729,26200,0.014897075,0.021068024,-0.000839188
1526,-0.010745252,0.012447471,39290,-0.007582185,-0.004289118,9.94E-05
1527,-0.00410404,0.008794372,36880,0.007473118,-0.002659716,7.08E-05
1528,0.001679671,0.005689207,2336,0.006263383,-0.015883168,-0.000356153
1529,-0.008348594,0.01475816,30479,0.007359307,0.005255743,-0.000817566
1530,0.001601414,0.013970954,45603,-0.008849077,-0.023483788,0.000139671
1531,0.00903466,0.010513059,41058,-0.007607497,0.007344414,-0.001642402
1532,0.004724666,0.00792875,24704,0.00548317,0.007720528,-0.001177061
1533,0.006558787,0.008547928,29889,-0.007621622,0.011784512,-0.000761851
1534,0.00093008,0.007823613,50333,-0.012339744,-0.017364658,0.000344856
1535,0.006424813,0.009471061,28857,-0.008032787,-0.014224751,-0.00055996
1536,-0.023026674,0.026782798,62318,-0.00330033,-0.012962565,-0.000189598
1537,-0.001165242,0.012651204,48811,-0.009531773,-0.019161677,-0.001001877
1538,-0.018239625,0.02264614,77804,-0.005277778,-0.004827433,-0.002077166
1539,-0.026009775,0.036233919,120318,0.011704545,-0.007864793,-0.002741643
1540,0.009306654,0.020707306,90041,0.01384083,-0.036177743,-0.002361649
1541,0.005804069,0.015887905,84735,-0.006682028,-0.008492322,-0.003239768
1542,0.010884195,0.022529112,63961,-0.01037296,0.002051943,-0.003060959
1543,0.008413113,0.013228895,53347,0.005960648,0.009479782,-0.002212414
1544,0.002989358,0.015006577,73245,-0.009551208,-0.030867421,-0.001640125
1545,-0.026615746,0.033313749,91185,-0.016924911,0.018175296,-0.00256023
1546,0.015967098,0.020624168,56354,0.008635266,-0.026850764,-0.000386109
1547,-0.015455204,0.029280367,86377,-0.011011905,0.004301206,-0.001120447
1548,0.00568904,0.023119288,115509,-0.017791411,-0.001931901,-0.001030476
1549,0.017933959,0.022780975,71751,-0.016064982,-0.000121043,-0.001486943
1550,-0.00541495,0.009770453,50691,0.010357143,0.029385035,-0.000257088
1551,0.002863962,0.017601432,56481,0.006331361,-0.014302531,0.000191301
1552,0.002741195,0.007985221,52699,-0.007559524,0.008770883,0.000693231
